Indicador,Atual,2023,2022,2021,2020,2019,ticker
CAGR RECEITAS 5 ANOS,"10,25%","12,36%","13,34%","7,96%","9,43%","5,91%",MDIA3
CAGR LUCROS 5 ANOS,"7,70%","4,20%","-10,61%","-8,43%","4,81%","-1,35%",MDIA3
P/L,1444,-1145,-440,9033,2680,19899,BRFS3
P/RECEITA (PSR),081,043,026,102,094,177,BRFS3
P/VP,286,156,124,458,449,776,BRFS3
DIVIDEND YIELD (DY),"2,09%","0,00%","0,00%","0,00%","0,00%","0,00%",BRFS3
PAYOUT,"29,94%","0,00%","0,00%","0,00%","0,00%","0,00%",BRFS3
MARGEM LÍQUIDA,"5,61%","-3,78%","-5,88%","1,13%","3,51%","0,89%",BRFS3
MARGEM BRUTA,"24,99%","16,48%","15,12%","27,33%","23,99%","24,15%",BRFS3
MARGEM EBIT,"10,12%","1,56%","-0,25%","8,09%","7,21%","8,83%",BRFS3
MARGEM EBITDA,"16,03%","6,93%","2,96%","12,49%","11,06%","10,58%",BRFS3
EV/EBITDA,599,905,1817,1364,1363,2199,BRFS3
EV/EBIT,949,4021,-21204,2105,2090,2636,BRFS3
P/EBITDA,505,625,876,816,850,1673,BRFS3
P/EBIT,801,2779,-10222,1259,1303,2006,BRFS3
P/ATIVO,078,041,024,068,075,142,BRFS3
P/CAP.GIRO,539,354,331,755,496,3440,BRFS3
P/ATIVO CIRC LIQ,-147,-074,-044,-128,-139,-222,BRFS3
VPA,982,887,670,491,491,454,BRFS3
LPA,194,-121,-188,025,082,018,BRFS3
GIRO ATIVOS,096,094,093,067,079,080,BRFS3
ROE,"19,77%","-13,59%","-28,10%","5,08%","16,76%","3,90%",BRFS3
ROIC,"14,44%","2,06%","-1,21%","7,29%","8,49%","10,77%",BRFS3
ROA,"5,92%","-3,26%","-5,43%","0,75%","2,80%","0,72%",BRFS3
DÍVIDA LÍQUIDA / EBITDA,094,279,941,548,513,526,BRFS3
DÍVIDA LÍQUIDA / EBIT,148,1242,-10982,846,787,631,BRFS3
DÍVIDA BRUTA / PATRIMÔNIO,118,135,209,308,271,244,BRFS3
PATRIMÔNIO / ATIVOS,027,026,019,015,017,018,BRFS3
PASSIVOS / ATIVOS,071,073,080,084,082,080,BRFS3
LIQUIDEZ CORRENTE,145,134,119,124,148,113,BRFS3
CAGR RECEITAS 5 ANOS,"11,74%","12,17%","9,96%","1,97%","4,16%","2,89%",BRFS3
CAGR LUCROS 5 ANOS,"64,17%",-%,-%,-%,"-14,98%","-25,51%",BRFS3
P/L,1646,2419,-30808,10314,2154,1463,BAUH4
P/RECEITA (PSR),172,192,228,262,265,222,BAUH4
P/VP,344,407,479,464,550,568,BAUH4
DIVIDEND YIELD (DY),"1,04%","1,48%","0,00%","0,00%","0,89%","0,62%",BAUH4
PAYOUT,"16,26%","16,25%","0,00%","0,00%","8,69%","4,10%",BAUH4
MARGEM LÍQUIDA,"10,42%","7,95%","-0,74%","2,54%","12,28%","15,21%",BAUH4
MARGEM BRUTA,"25,85%","23,15%","22,30%","18,96%","23,27%","25,74%",BAUH4
MARGEM EBIT,"8,37%","5,14%","4,17%","1,31%","12,97%","9,91%",BAUH4
MARGEM EBITDA,"10,77%","7,73%","6,80%","4,68%","15,10%","11,49%",BAUH4
EV/EBITDA,600,1002,1550,2494,738,710,BAUH4
EV/EBIT,772,1506,2528,8927,860,823,BAUH4
P/EBITDA,1592,2488,3357,5599,1752,1936,BAUH4
P/EBIT,2049,3742,5474,20043,2040,2244,BAUH4
P/ATIVO,234,258,288,284,339,336,BAUH4
P/CAP.GIRO,1446,3766,3952,-3620,4675,1936,BAUH4
P/ATIVO CIRC LIQ,-434,-439,-496,-401,-596,-751,BAUH4
VPA,2293,2011,1750,1892,1759,1374,BAUH4
LPA,479,338,-027,085,449,533,BAUH4
GIRO ATIVOS,136,134,126,108,128,151,BAUH4
ROE,"20,87%","16,83%","-1,56%","4,50%","25,52%","38,82%",BAUH4
ROIC,"14,82%","4,99%","-1,34%","-0,76%","19,17%","12,67%",BAUH4
ROA,"14,19%","10,65%","-0,94%","4,32%","15,74%","23,00%",BAUH4
DÍVIDA LÍQUIDA / EBITDA,-150,-130,-027,-133,-087,-170,BAUH4
DÍVIDA LÍQUIDA / EBIT,-193,-196,-044,-476,-102,-197,BAUH4
DÍVIDA BRUTA / PATRIMÔNIO,-,006,011,000,000,0000223,BAUH4
PATRIMÔNIO / ATIVOS,068,063,060,061,062,059,BAUH4
PASSIVOS / ATIVOS,032,037,040,039,038,041,BAUH4
LIQUIDEZ CORRENTE,154,120,121,079,120,146,BAUH4
CAGR RECEITAS 5 ANOS,"5,54%","5,05%","3,33%","5,51%","10,90%","8,51%",BAUH4
CAGR LUCROS 5 ANOS,"-2,14%","11,95%",-%,"-1,89%","33,53%","23,91%",BAUH4
P/L,639,1380,779,991,1163,1589,JOPA3
P/RECEITA (PSR),010,010,011,015,024,023,JOPA3
P/VP,037,038,032,056,071,057,JOPA3
DIVIDEND YIELD (DY),"2,06%","3,91%","3,68%","2,97%","0,82%","2,40%",JOPA3
PAYOUT,"13,20%","54,04%","28,68%","34,59%","4,78%","38,24%",JOPA3
MARGEM LÍQUIDA,"1,58%","0,76%","1,35%","1,54%","2,04%","1,48%",JOPA3
MARGEM BRUTA,"23,15%","21,58%","21,36%","19,84%","27,37%","27,49%",JOPA3
MARGEM EBIT,"6,51%","5,98%","5,74%","4,18%","7,51%","2,40%",JOPA3
MARGEM EBITDA,"7,15%","6,69%","5,01%","5,04%","8,58%","3,68%",JOPA3
EV/EBITDA,501,519,782,834,629,1801,JOPA3
EV/EBIT,550,580,682,1005,719,2757,JOPA3
P/EBITDA,141,157,210,302,276,638,JOPA3
P/EBIT,155,175,183,364,315,977,JOPA3
P/ATIVO,010,009,010,014,018,016,JOPA3
P/CAP.GIRO,031,025,032,036,064,055,JOPA3
P/ATIVO CIRC LIQ,-036,-036,-037,-047,-054,-042,JOPA3
VPA,5706,5494,7097,5137,4929,4714,JOPA3
LPA,329,152,289,291,301,170,JOPA3
GIRO ATIVOS,099,089,094,091,077,068,JOPA3
ROE,"5,76%","2,77%","4,07%","5,66%","6,10%","3,60%",JOPA3
ROIC,"6,34%","6,59%","5,96%","3,79%","4,39%","-60,63%",JOPA3
ROA,"1,78%","0,93%","1,55%","1,69%","1,89%","1,03%",JOPA3
DÍVIDA LÍQUIDA / EBITDA,358,361,571,531,354,1164,JOPA3
DÍVIDA LÍQUIDA / EBIT,394,404,498,640,404,1782,JOPA3
DÍVIDA BRUTA / PATRIMÔNIO,189,215,174,212,194,183,JOPA3
PATRIMÔNIO / ATIVOS,027,024,031,025,026,028,JOPA3
PASSIVOS / ATIVOS,065,069,069,067,066,067,JOPA3
LIQUIDEZ CORRENTE,181,206,173,221,176,185,JOPA3
CAGR RECEITAS 5 ANOS,"12,52%","13,87%","16,21%","11,31%","8,16%","3,46%",JOPA3
CAGR LUCROS 5 ANOS,"16,45%","-5,98%","8,05%","0,73%","5,13%","-7,34%",JOPA3
P/L,1497,1492,1583,1918,2167,2497,ABEV3
P/RECEITA (PSR),253,271,287,334,422,559,ABEV3
P/VP,213,274,279,294,334,480,ABEV3
DIVIDEND YIELD (DY),"5,57%","5,32%","5,25%","4,41%","2,64%","2,63%",ABEV3
PAYOUT,"82,51%","79,34%","83,08%","84,60%","57,29%","65,63%",ABEV3
MARGEM LÍQUIDA,"16,92%","18,19%","18,14%","17,39%","19,49%","22,40%",ABEV3
MARGEM BRUTA,"50,98%","50,72%","49,29%","51,05%","53,64%","58,79%",ABEV3
MARGEM EBIT,"23,92%","23,38%","22,15%","23,29%","27,29%","30,52%",ABEV3
MARGEM EBITDA,"31,92%","31,43%","29,63%","30,69%","36,14%","47,14%",ABEV3
EV/EBITDA,727,812,921,1018,1103,1151,ABEV3
EV/EBIT,970,1091,1232,1341,1460,1778,ABEV3
P/EBITDA,794,863,969,1087,1169,1187,ABEV3
P/EBIT,1059,1160,1296,1432,1548,1833,ABEV3
P/ATIVO,142,163,166,175,197,289,ABEV3
P/CAP.GIRO,2983,-4871,-8400,"-1.015,52",13225,11271,ABEV3
P/ATIVO CIRC LIQ,-200,-225,-228,-243,-274,-397,ABEV3
VPA,623,501,520,524,468,389,ABEV3
LPA,088,092,092,080,072,075,ABEV3
GIRO ATIVOS,056,060,058,053,047,052,ABEV3
ROE,"14,21%","18,36%","17,64%","15,33%","15,42%","19,22%",ABEV3
ROIC,"16,50%","22,52%","19,83%","19,04%","18,02%","23,78%",ABEV3
ROA,"9,74%","11,28%","10,79%","9,47%","9,37%","11,98%",ABEV3
DÍVIDA LÍQUIDA / EBITDA,-067,-051,-047,-069,-066,-036,ABEV3
DÍVIDA LÍQUIDA / EBIT,-089,-069,-063,-091,-088,-055,ABEV3
DÍVIDA BRUTA / PATRIMÔNIO,003,004,005,004,006,005,ABEV3
PATRIMÔNIO / ATIVOS,067,060,059,060,059,060,ABEV3
PASSIVOS / ATIVOS,033,040,040,039,040,039,ABEV3
LIQUIDEZ CORRENTE,120,089,093,099,106,110,ABEV3
CAGR RECEITAS 5 ANOS,"9,39%","9,68%","10,72%","9,82%","4,56%","6,67%",ABEV3
CAGR LUCROS 5 ANOS,"3,32%","5,68%","13,84%","0,06%","-1,85%","-0,28%",ABEV3
P/L,4810,1135,671,134,300,-127,MNPR3
P/RECEITA (PSR),046,037,012,014,019,018,MNPR3
P/VP,-049,-042,-013,-013,-013,-011,MNPR3
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",MNPR3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",MNPR3
MARGEM LÍQUIDA,"0,96%","3,23%","1,79%","10,57%","6,37%","-14,00%",MNPR3
MARGEM BRUTA,"23,25%","25,85%","28,50%","25,05%","28,27%","28,38%",MNPR3
MARGEM EBIT,"9,47%","11,50%","12,01%","17,37%","14,58%","14,13%",MNPR3
MARGEM EBITDA,"12,07%","14,39%","13,93%","19,37%","17,05%","16,67%",MNPR3
EV/EBITDA,384,255,066,072,113,107,MNPR3
EV/EBIT,489,319,076,081,132,126,MNPR3
P/EBITDA,384,255,086,073,112,107,MNPR3
P/EBIT,490,318,100,082,131,126,MNPR3
P/ATIVO,044,041,015,017,020,021,MNPR3
P/CAP.GIRO,-041,-035,-012,-012,-012,-010,MNPR3
P/ATIVO CIRC LIQ,-100,-090,-032,-033,-036,-031,MNPR3
VPA,-4499,-4562,-4734,-4843,-5286,-5530,MNPR3
LPA,046,167,092,476,233,-465,MNPR3
GIRO ATIVOS,096,112,123,120,106,118,MNPR3
ROE,"-1,01%","-3,67%","-1,94%","-9,82%","-4,41%","-8,40%",MNPR3
ROIC,"-9,32%","-11,49%","-11,16%","-13,58%","-8,25%","-8,30%",MNPR3
ROA,"0,93%","3,64%","2,21%","12,67%","6,79%","-16,52%",MNPR3
DÍVIDA LÍQUIDA / EBITDA,-001,0002756,-020,-001,0006096,0005092,MNPR3
DÍVIDA LÍQUIDA / EBIT,-001,0003449,-023,-001,0007130,0006008,MNPR3
DÍVIDA BRUTA / PATRIMÔNIO,-,-000,-000,-000,-000,-000,MNPR3
PATRIMÔNIO / ATIVOS,-091,-099,-113,-129,-154,-196,MNPR3
PASSIVOS / ATIVOS,191,199,213,558,254,297,MNPR3
LIQUIDEZ CORRENTE,034,032,030,025,021,013,MNPR3
CAGR RECEITAS 5 ANOS,"7,36%","13,36%","13,94%","10,24%","4,62%","4,71%",MNPR3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,-%,MNPR3
P/L,-075,-094,-4708,1328,1688,5515,PCAR3
P/RECEITA (PSR),006,010,047,022,072,077,PCAR3
P/VP,030,042,070,065,219,323,PCAR3
DIVIDEND YIELD (DY),-,"0,00%","2,15%","10,02%","0,78%","0,91%",PCAR3
PAYOUT,-,"0,00%","-101,02%","133,05%","13,09%","50,18%",PCAR3
MARGEM LÍQUIDA,"-8,53%","-11,01%","-0,99%","1,65%","4,25%","1,39%",PCAR3
MARGEM BRUTA,"27,10%","25,02%","24,84%","25,40%","26,83%","21,51%",PCAR3
MARGEM EBIT,"0,08%","3,52%","-3,26%","3,42%","5,13%","3,44%",PCAR3
MARGEM EBITDA,"6,25%","9,42%","19,36%","7,65%","8,19%","6,81%",PCAR3
EV/EBITDA,274,194,304,529,1095,1292,PCAR3
EV/EBIT,21485,519,-1807,1185,1747,2557,PCAR3
P/EBITDA,103,110,241,286,877,1130,PCAR3
P/EBIT,8072,294,-1433,641,1399,2236,PCAR3
P/ATIVO,006,009,018,022,069,075,PCAR3
P/CAP.GIRO,-289,153,075,806,-4369,-2998,PCAR3
P/ATIVO CIRC LIQ,-009,-014,-053,-034,-103,-114,PCAR3
VPA,821,962,2355,3335,3422,2751,PCAR3
LPA,-328,-432,-035,164,445,161,PCAR3
GIRO ATIVOS,096,087,040,098,096,098,PCAR3
ROE,"-39,89%","-44,92%","-1,49%","4,91%","12,99%","5,86%",PCAR3
ROIC,"-0,62%","2,59%","-5,85%","4,28%","7,59%","6,12%",PCAR3
ROA,"-8,14%","-9,68%","-0,01%","1,94%","4,36%","1,44%",PCAR3
DÍVIDA LÍQUIDA / EBITDA,171,084,063,243,218,162,PCAR3
DÍVIDA LÍQUIDA / EBIT,13413,225,-374,544,348,320,PCAR3
DÍVIDA BRUTA / PATRIMÔNIO,107,112,051,055,055,105,PCAR3
PATRIMÔNIO / ATIVOS,020,021,026,033,031,023,PCAR3
PASSIVOS / ATIVOS,079,079,069,067,068,074,PCAR3
LIQUIDEZ CORRENTE,093,121,161,108,095,093,PCAR3
CAGR RECEITAS 5 ANOS,"-19,77%","-17,17%","-17,25%","3,26%","-5,83%","-2,87%",PCAR3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,"-12,00%",PCAR3
P/L,1276,2577,2158,1088,000,000,ASAI3
P/RECEITA (PSR),011,028,048,042,000,000,ASAI3
P/VP,162,395,676,634,000,000,ASAI3
DIVIDEND YIELD (DY),-,"0,37%","0,83%","0,85%","0,00%","0,00%",ASAI3
PAYOUT,-,"16,58%","13,86%","9,27%","0,00%","0,00%",ASAI3
MARGEM LÍQUIDA,"0,88%","1,07%","2,24%","3,84%","3,88%","3,79%",ASAI3
MARGEM BRUTA,"16,48%","16,30%","16,48%","17,05%","16,41%","17,14%",ASAI3
MARGEM EBIT,"5,12%","4,94%","5,23%","6,16%","5,74%","6,16%",ASAI3
MARGEM EBITDA,"7,35%","7,16%","6,96%","7,85%","10,56%","7,85%",ASAI3
EV/EBITDA,391,589,1025,708,206,406,ASAI3
EV/EBIT,561,853,1366,902,379,518,ASAI3
P/EBITDA,153,384,694,533,000,000,ASAI3
P/EBIT,220,557,924,679,000,000,ASAI3
P/ATIVO,018,042,065,077,000,000,ASAI3
P/CAP.GIRO,-331,-1011,-1177,13690,000,000,ASAI3
P/ATIVO CIRC LIQ,-028,-064,-100,-124,000,000,ASAI3
VPA,369,342,288,205,521,2625,ASAI3
LPA,047,053,090,119,517,387,ASAI3
GIRO ATIVOS,164,154,134,183,192,077,ASAI3
ROE,"12,73%","15,33%","31,31%","58,21%","99,15%","14,75%",ASAI3
ROIC,"16,71%","15,79%","16,59%","21,73%","17,66%","7,72%",ASAI3
ROA,"1,45%","1,64%","3,00%","7,04%","8,27%","2,95%",ASAI3
DÍVIDA LÍQUIDA / EBITDA,238,204,332,175,206,406,ASAI3
DÍVIDA LÍQUIDA / EBIT,341,296,442,223,379,518,ASAI3
DÍVIDA BRUTA / PATRIMÔNIO,333,328,323,289,555,124,ASAI3
PATRIMÔNIO / ATIVOS,011,011,010,012,007,020,ASAI3
PASSIVOS / ATIVOS,089,089,090,088,093,073,ASAI3
LIQUIDEZ CORRENTE,086,089,086,101,096,088,ASAI3
CAGR RECEITAS 5 ANOS,"21,12%",-%,-%,-%,-%,-%,ASAI3
CAGR LUCROS 5 ANOS,"-9,71%",-%,-%,-%,-%,-%,ASAI3
P/L,51292,-3303,1793,1023,1531,4861,CRFB3
P/RECEITA (PSR),011,024,030,041,057,082,CRFB3
P/VP,065,137,154,191,262,365,CRFB3
DIVIDEND YIELD (DY),-,"1,19%","2,34%","2,86%","1,28%","0,19%",CRFB3
PAYOUT,"530,25%","-39,20%","41,99%","29,26%","19,65%","9,45%",CRFB3
MARGEM LÍQUIDA,"0,02%","-0,72%","1,69%","4,04%","3,75%","1,69%",CRFB3
MARGEM BRUTA,"18,48%","18,81%","19,10%","19,13%","19,55%","20,73%",CRFB3
MARGEM EBIT,"3,10%","2,59%","4,79%","6,58%","6,33%","4,63%",CRFB3
MARGEM EBITDA,"4,72%","4,35%","6,47%","8,15%","7,86%","6,41%",CRFB3
EV/EBITDA,579,734,588,650,834,1395,CRFB3
EV/EBIT,882,1235,794,805,1036,1932,CRFB3
P/EBITDA,238,549,468,507,731,1278,CRFB3
P/EBIT,363,924,632,629,908,1771,CRFB3
P/ATIVO,014,028,034,055,079,110,CRFB3
P/CAP.GIRO,-729,-942,-784,1825,5901,410,CRFB3
P/ATIVO CIRC LIQ,-026,-055,-063,-115,-155,-216,CRFB3
VPA,941,911,961,800,741,640,CRFB3
LPA,001,-038,082,149,127,048,CRFB3
GIRO ATIVOS,129,118,111,132,137,134,CRFB3
ROE,"0,13%","-4,14%","8,58%","18,63%","17,08%","7,51%",CRFB3
ROIC,"7,46%","5,55%","10,83%","16,03%","15,99%","10,18%",CRFB3
ROA,"0,27%","-0,69%","2,16%","5,71%","5,49%","2,96%",CRFB3
DÍVIDA LÍQUIDA / EBITDA,340,185,120,142,103,116,CRFB3
DÍVIDA LÍQUIDA / EBIT,519,311,162,176,128,161,CRFB3
DÍVIDA BRUTA / PATRIMÔNIO,112,110,094,054,037,033,CRFB3
PATRIMÔNIO / ATIVOS,022,021,022,029,030,030,CRFB3
PASSIVOS / ATIVOS,076,078,076,069,067,045,CRFB3
LIQUIDEZ CORRENTE,096,094,091,106,103,218,CRFB3
CAGR RECEITAS 5 ANOS,"13,66%","15,15%","15,40%",-%,-%,-%,CRFB3
CAGR LUCROS 5 ANOS,"-28,80%",-%,"3,13%",-%,-%,-%,CRFB3
P/L,33829,11175,5722,10089,15130,000,PETZ3
P/RECEITA (PSR),056,058,102,361,615,000,PETZ3
P/VP,107,101,157,430,1716,000,PETZ3
DIVIDEND YIELD (DY),"7,46%","0,43%","0,63%","0,12%","0,17%","0,00%",PETZ3
PAYOUT,"2.554,83%","60,48%","37,77%","24,48%","0,00%","0,00%",PETZ3
MARGEM LÍQUIDA,"0,17%","0,52%","1,79%","3,58%","4,06%","1,80%",PETZ3
MARGEM BRUTA,"46,69%","46,70%","47,65%","48,29%","48,27%","50,36%",PETZ3
MARGEM EBIT,"3,11%","4,04%","4,79%","7,73%","8,64%","9,11%",PETZ3
MARGEM EBITDA,"8,54%","11,67%","9,28%","11,82%","15,68%","0,00%",PETZ3
EV/EBITDA,640,496,1073,2874,3925,-,PETZ3
EV/EBIT,1758,1433,2081,4392,7126,794,PETZ3
P/EBITDA,653,494,1101,3054,3921,-,PETZ3
P/EBIT,1795,1426,2134,4668,7119,000,PETZ3
P/ATIVO,046,046,079,220,467,000,PETZ3
P/CAP.GIRO,319,295,823,1142,3808,000,PETZ3
P/ATIVO CIRC LIQ,-072,-070,-113,-363,-878,000,PETZ3
VPA,367,391,398,380,111,038,PETZ3
LPA,001,004,011,016,013,004,PETZ3
GIRO ATIVOS,082,079,078,061,076,076,PETZ3
ROE,"0,32%","0,90%","2,75%","4,27%","11,34%","9,70%",PETZ3
ROIC,"3,81%","5,26%","5,72%","7,17%","11,13%","7,13%",PETZ3
ROA,"0,14%","0,41%","1,39%","2,18%","3,08%","1,37%",PETZ3
DÍVIDA LÍQUIDA / EBITDA,-014,002,-027,-181,004,-,PETZ3
DÍVIDA LÍQUIDA / EBIT,-037,006,-053,-276,007,794,PETZ3
DÍVIDA BRUTA / PATRIMÔNIO,026,024,006,013,096,485,PETZ3
PATRIMÔNIO / ATIVOS,043,045,050,051,027,014,PETZ3
PASSIVOS / ATIVOS,057,055,050,049,073,086,PETZ3
LIQUIDEZ CORRENTE,165,181,148,195,135,116,PETZ3
CAGR RECEITAS 5 ANOS,"28,11%",-%,-%,-%,-%,-%,PETZ3
CAGR LUCROS 5 ANOS,"-20,60%",-%,-%,-%,-%,-%,PETZ3
P/L,935,6225,-4381,3199,4688,000,LJQQ3
P/RECEITA (PSR),019,051,035,107,196,000,LJQQ3
P/VP,090,229,153,403,664,000,LJQQ3
DIVIDEND YIELD (DY),"6,41%","2,69%","0,00%","1,26%","0,41%","0,00%",LJQQ3
PAYOUT,"60,88%","0,00%","-128,10%","24,55%","0,00%","0,00%",LJQQ3
MARGEM LÍQUIDA,"2,08%","0,82%","-0,81%","3,36%","4,19%","2,19%",LJQQ3
MARGEM BRUTA,"34,73%","34,44%","33,26%","39,04%","41,32%","40,55%",LJQQ3
MARGEM EBIT,"5,47%","4,30%","3,79%","8,06%","9,47%","7,33%",LJQQ3
MARGEM EBITDA,"10,43%","9,51%","8,38%","12,11%","13,25%","11,04%",LJQQ3
EV/EBITDA,156,524,382,856,1420,046,LJQQ3
EV/EBIT,298,1160,845,1287,1986,069,LJQQ3
P/EBITDA,187,537,423,886,1481,000,LJQQ3
P/EBIT,356,1189,936,1331,2072,000,LJQQ3
P/ATIVO,014,037,027,081,143,000,LJQQ3
P/CAP.GIRO,046,134,086,313,509,000,LJQQ3
P/ATIVO CIRC LIQ,-048,-113,-082,-251,-516,000,LJQQ3
VPA,289,274,275,278,246,075,LJQQ3
LPA,028,010,-010,035,035,015,LJQQ3
GIRO ATIVOS,071,073,076,076,073,079,LJQQ3
ROE,"9,58%","3,69%","-3,48%","12,60%","14,16%","19,46%",LJQQ3
ROIC,"11,90%","7,77%","8,58%","17,29%","14,38%","17,38%",LJQQ3
ROA,"1,48%","0,60%","-0,62%","2,53%","3,06%","1,72%",LJQQ3
DÍVIDA LÍQUIDA / EBITDA,-030,-013,-041,-030,-061,046,LJQQ3
DÍVIDA LÍQUIDA / EBIT,-058,-029,-090,-045,-085,069,LJQQ3
DÍVIDA BRUTA / PATRIMÔNIO,101,094,077,049,078,231,LJQQ3
PATRIMÔNIO / ATIVOS,015,016,018,020,022,009,LJQQ3
PASSIVOS / ATIVOS,085,084,082,080,078,091,LJQQ3
LIQUIDEZ CORRENTE,173,170,189,162,164,163,LJQQ3
CAGR RECEITAS 5 ANOS,"14,86%",-%,-%,-%,-%,-%,LJQQ3
CAGR LUCROS 5 ANOS,"13,78%",-%,-%,-%,-%,-%,LJQQ3
P/L,1146,1299,1327,1762,2545,,GMAT3
P/RECEITA (PSR),049,059,064,084,149,,GMAT3
P/VP,163,183,187,208,960,,GMAT3
DIVIDEND YIELD (DY),"2,75%","0,00%","0,00%","0,00%","0,00%",,GMAT3
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%",,GMAT3
MARGEM LÍQUIDA,"4,27%","4,56%","4,83%","4,76%","5,86%",,GMAT3
MARGEM BRUTA,"22,34%","21,71%","22,05%","23,32%","24,13%",,GMAT3
MARGEM EBIT,"6,45%","6,28%","6,27%","5,77%","6,25%",,GMAT3
MARGEM EBITDA,"7,59%","7,60%","7,78%","4,17%","0,00%",,GMAT3
EV/EBITDA,779,900,905,2315,-,,GMAT3
EV/EBIT,916,1089,1123,1672,2551,,GMAT3
P/EBITDA,646,779,824,2014,-,,GMAT3
P/EBIT,759,943,1023,1454,2384,,GMAT3
P/ATIVO,085,097,105,134,448,,GMAT3
P/CAP.GIRO,265,259,231,288,1044,,GMAT3
P/ATIVO CIRC LIQ,-217,-265,-313,-362,-1377,,GMAT3
VPA,420,393,337,289,087,,GMAT3
LPA,060,055,048,034,033,,GMAT3
GIRO ATIVOS,173,164,164,159,301,,GMAT3
ROE,"14,23%","14,08%","14,12%","11,83%","37,73%",,GMAT3
ROIC,"14,28%","13,21%","12,63%","10,70%","24,05%",,GMAT3
ROA,"7,46%","7,55%","8,03%","7,72%","17,62%",,GMAT3
DÍVIDA LÍQUIDA / EBITDA,134,121,081,301,-,,GMAT3
DÍVIDA LÍQUIDA / EBIT,157,146,101,218,167,,GMAT3
DÍVIDA BRUTA / PATRIMÔNIO,041,043,042,031,067,,GMAT3
PATRIMÔNIO / ATIVOS,052,053,056,064,047,,GMAT3
PASSIVOS / ATIVOS,048,046,043,035,053,,GMAT3
LIQUIDEZ CORRENTE,209,245,320,380,275,,GMAT3
CAGR RECEITAS 5 ANOS,-,-%,-%,-%,-%,,GMAT3
CAGR LUCROS 5 ANOS,-,-%,-%,-%,-%,,GMAT3
P/L,140,,020,130,-051,-212,SLED4
P/RECEITA (PSR),130,,027,067,088,101,SLED4
P/VP,-025,,-007,-012,-040,-391,SLED4
DIVIDEND YIELD (DY),-,,"0,00%","0,00%","0,00%","0,00%",SLED4
PAYOUT,-,,"0,00%","0,00%","0,00%","-23,11%",SLED4
MARGEM LÍQUIDA,"92,72%",,"133,71%","51,97%","-170,35%","-47,50%",SLED4
MARGEM BRUTA,"47,86%",,"43,12%","39,78%","30,89%","29,79%",SLED4
MARGEM EBIT,"73,94%",,"248,32%","17,69%","-155,25%","-75,15%",SLED4
MARGEM EBITDA,"121,07%",,"288,81%","55,52%","-139,61%","-63,78%",SLED4
EV/EBITDA,147,,038,646,-138,-281,SLED4
EV/EBIT,241,,044,2027,-124,-239,SLED4
P/EBITDA,107,,009,121,-063,-158,SLED4
P/EBIT,175,,011,381,-056,-134,SLED4
P/ATIVO,150,,021,024,065,079,SLED4
P/CAP.GIRO,-062,,-020,-070,-316,-2252,SLED4
P/ATIVO CIRC LIQ,-226,,-030,-037,-115,-109,SLED4
VPA,-3957,,-3609,-5178,-162,-051,SLED4
LPA,715,,1202,479,-124,-094,SLED4
GIRO ATIVOS,115,,080,036,074,079,SLED4
ROE,"-18,07%",,"-33,29%","-9,26%","-76,98%","-184,19%",SLED4
ROIC,"-15,91%",,"-77,53%","-6,63%","142,48%","-165,40%",SLED4
ROA,"107,06%",,"107,60%","18,73%","-125,94%","-37,32%",SLED4
DÍVIDA LÍQUIDA / EBITDA,040,,027,514,-072,-109,SLED4
DÍVIDA LÍQUIDA / EBIT,065,,032,1615,-065,-092,SLED4
DÍVIDA BRUTA / PATRIMÔNIO,-009,,-020,-052,-051,-280,SLED4
PATRIMÔNIO / ATIVOS,-592,,-323,-202,-164,-020,SLED4
PASSIVOS / ATIVOS,692,,423,302,264,120,SLED4
LIQUIDEZ CORRENTE,012,,021,050,068,089,SLED4
CAGR RECEITAS 5 ANOS,"-35,58%",,"-45,03%","-44,82%","-32,61%","-21,70%",SLED4
CAGR LUCROS 5 ANOS,-,,-%,-%,-%,-%,SLED4
P/L,743,531,1417,654,1447,-1313,BOBR4
P/RECEITA (PSR),035,037,022,038,050,050,BOBR4
P/VP,57400,-957,-206,-246,-236,-186,BOBR4
DIVIDEND YIELD (DY),-,"0,00%","0,00%","0,00%","0,00%","0,00%",BOBR4
PAYOUT,-,"0,00%","0,00%","0,00%","0,00%","0,00%",BOBR4
MARGEM LÍQUIDA,"4,73%","7,05%","1,54%","5,87%","3,47%","-3,82%",BOBR4
MARGEM BRUTA,"41,02%","40,47%","34,71%","27,64%","37,35%","38,79%",BOBR4
MARGEM EBIT,"13,83%","15,53%","10,72%","11,58%","11,13%","5,76%",BOBR4
MARGEM EBITDA,"15,60%","17,42%","12,55%","13,56%","12,82%","7,83%",BOBR4
EV/EBITDA,272,290,356,409,445,666,BOBR4
EV/EBIT,307,325,417,479,513,906,BOBR4
P/EBITDA,225,215,174,283,391,641,BOBR4
P/EBIT,254,241,203,332,451,871,BOBR4
P/ATIVO,059,064,037,051,086,081,BOBR4
P/CAP.GIRO,-3209,-907,-146,-154,-280,-266,BOBR4
